p1                                  p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
results/ldsc/munged/HHV_7_pos.sumstats.gz  results/ldsc/munged/MS.sumstats.gz -0.0265  0.1447 -0.1835  0.8544  0.0818     0.0248   1.042     0.0095    0.0096       0.0064
results/ldsc/munged/HHV_7_pos.sumstats.gz  results/ldsc/munged/rheuma.sumstats.gz -0.1523  0.0964 -1.5799  0.1141  0.1664     0.0316  1.0313     0.0117   -0.0008       0.0057
results/ldsc/munged/HHV_7_pos.sumstats.gz  results/ldsc/munged/SLE.sumstats.gz -0.1816  0.1062 -1.7096  0.0873  0.3737     0.0642  1.1084     0.0101    0.0048       0.0058
results/ldsc/munged/MS.sumstats.gz  results/ldsc/munged/SLE.sumstats.gz  0.5111  0.1488  3.4349  0.0006  0.3843     0.0648  1.0997     0.0109    0.0099       0.0066
results/ldsc/munged/rheuma.sumstats.gz  results/ldsc/munged/MS.sumstats.gz  0.2969  0.1265  2.3471  0.0189  0.0808     0.0261  1.0404     0.0104    0.0179       0.0067
results/ldsc/munged/rheuma.sumstats.gz  results/ldsc/munged/SLE.sumstats.gz  0.4161  0.0714  5.824  5.7464e-09  0.3747     0.0677  1.1078     0.0119    0.0205       0.0076
results/ldsc/munged/zero_vs_1_18.sumstats.gz  results/ldsc/munged/HHV_7_pos.sumstats.gz -0.0174  0.119 -0.146  0.8839  0.0121     0.0031  1.0372     0.0126    0.0058       0.0063
results/ldsc/munged/zero_vs_1_18.sumstats.gz  results/ldsc/munged/MS.sumstats.gz -0.1771  0.1348 -1.3142  0.1888  0.0818     0.0248   1.042     0.0095     0.003       0.0058
results/ldsc/munged/zero_vs_1_18.sumstats.gz  results/ldsc/munged/rheuma.sumstats.gz  0.1901  0.1024  1.8555  0.0635  0.1664     0.0316  1.0313     0.0117    0.0103       0.0071
results/ldsc/munged/zero_vs_1_18.sumstats.gz  results/ldsc/munged/SLE.sumstats.gz -0.0818  0.0831 -0.9848  0.3247  0.3737     0.0642  1.1084     0.0101    0.0143       0.0065
